store_id,sector,condition,info,search,cx,esg,platform,total
R01,real,pre,48.7,0.0,0.0,0.0,0.0,9.7
R01,real,post,71.4,6.2,60.4,26.9,76.7,48.3
R02,real,pre,26.2,0.0,4.2,0.0,0.0,6.1
R02,real,post,46.5,6.2,64.5,29.0,82.5,45.7
R03,real,pre,47.6,0.0,11.7,0.0,0.0,11.9
R03,real,post,65.1,3.4,60.5,29.3,85.9,48.8
R04,real,pre,9.4,2.1,4.2,0.0,0.0,3.1
R04,real,post,29.1,5.0,58.7,26.1,96.1,43.0
R05,real,pre,36.6,1.5,17.4,0.0,0.0,11.1
R05,real,post,55.6,1.2,65.7,23.4,73.0,43.8
R06,real,pre,34.7,0.0,0.0,0.0,0.0,6.9
R06,real,post,58.1,9.9,55.5,33.6,83.6,48.1
R07,real,pre,44.1,0.0,0.0,0.0,0.0,8.8
R07,real,post,62.5,2.3,57.6,27.0,85.2,46.9
R08,real,pre,32.6,0.0,0.0,0.0,0.0,6.5
R08,real,post,56.9,4.1,69.6,30.5,74.7,47.2
R09,real,pre,38.9,0.0,2.0,0.0,0.0,8.2
R09,real,post,64.3,6.0,60.0,27.5,79.8,47.5
R10,real,pre,40.5,0.0,0.0,0.0,0.0,8.1
R10,real,post,58.1,4.5,59.4,25.6,75.4,44.6
R11,real,pre,38.5,0.0,0.0,0.0,0.0,7.7
R11,real,post,54.4,0.3,55.3,23.9,71.7,41.1
R12,real,pre,22.1,0.0,0.0,0.0,0.0,4.4
R12,real,post,42.9,4.9,52.9,29.5,75.3,41.1
