store_id,sector,condition,info,search,cx,esg,platform,total
R01,korean,pre,37.6,0.0,3.3,0.0,0.0,8.2
R01,korean,post,58.2,3.9,62.5,31.4,80.0,47.2
R02,cafe,pre,37.6,0.0,3.3,0.0,0.0,8.2
R02,cafe,post,58.5,3.9,62.5,25.1,80.0,46.0
R03,cafe,pre,37.6,0.0,3.3,0.0,0.0,8.2
R03,cafe,post,58.2,3.7,62.5,31.4,80.0,47.2
R04,cafe,pre,37.6,0.0,3.3,0.0,0.0,8.2
R04,cafe,post,47.3,1.8,47.7,25.1,80.0,40.4
R05,tourism,pre,37.6,0.0,3.3,0.0,0.0,8.2
R05,tourism,post,58.2,4.4,62.5,25.1,80.0,46.0
R06,cafe,pre,27.2,5.8,3.3,0.0,0.0,7.3
R06,cafe,post,58.2,5.9,62.5,31.4,80.0,47.6
R07,korean,pre,37.6,0.0,3.3,0.0,0.0,8.2
R07,korean,post,57.0,2.1,47.7,31.4,80.0,43.6
R08,tourism,pre,37.6,0.0,3.3,0.0,0.0,8.2
R08,tourism,post,57.8,6.9,62.5,25.1,80.0,46.5
R09,korean,pre,37.6,0.0,3.3,0.0,0.0,8.2
R09,korean,post,47.3,3.7,62.5,25.1,80.0,43.7
R10,tourism,pre,27.2,0.0,3.3,0.0,0.0,6.1
R10,tourism,post,58.5,4.6,62.5,25.1,80.0,46.1
R11,tourism,pre,37.6,0.0,3.3,0.0,0.0,8.2
R11,tourism,post,57.8,6.6,62.5,25.1,80.0,46.4
R12,cafe,pre,27.2,0.0,3.3,0.0,0.0,6.1
R12,cafe,post,47.7,6.3,62.5,31.4,80.0,45.6
