store_id,sector,condition,info,search,cx,esg,platform,total
R01,korean,pre,53.3,0.0,0.0,0.0,0.0,10.7
R01,korean,post,99.3,3.3,100.0,83.3,100.0,77.2
R02,cafe,pre,53.3,0.0,0.0,0.0,0.0,10.7
R02,cafe,post,100.0,3.3,100.0,66.7,100.0,74.0
R03,cafe,pre,53.3,0.0,0.0,0.0,0.0,10.7
R03,cafe,post,99.2,3.1,100.0,83.3,100.0,77.1
R04,cafe,pre,53.3,0.0,0.0,0.0,0.0,10.7
R04,cafe,post,75.0,1.6,75.0,66.7,100.0,63.7
R05,tourism,pre,53.3,0.0,0.0,0.0,0.0,10.7
R05,tourism,post,99.2,3.7,100.0,66.7,100.0,73.9
R06,cafe,pre,30.0,4.9,0.0,0.0,0.0,7.0
R06,cafe,post,99.1,4.9,100.0,83.3,100.0,77.5
R07,korean,pre,53.3,0.0,0.0,0.0,0.0,10.7
R07,korean,post,96.6,1.8,75.0,83.3,100.0,71.3
R08,tourism,pre,53.3,0.0,0.0,0.0,0.0,10.7
R08,tourism,post,98.3,5.7,100.0,66.7,100.0,74.1
R09,korean,pre,53.3,0.0,0.0,0.0,0.0,10.7
R09,korean,post,75.0,3.2,100.0,66.7,100.0,69.0
R10,tourism,pre,30.0,0.0,0.0,0.0,0.0,6.0
R10,tourism,post,100.0,3.9,100.0,66.7,100.0,74.1
R11,tourism,pre,53.3,0.0,0.0,0.0,0.0,10.7
R11,tourism,post,98.4,5.5,100.0,66.7,100.0,74.1
R12,cafe,pre,30.0,0.0,0.0,0.0,0.0,6.0
R12,cafe,post,75.9,5.2,100.0,83.3,100.0,72.9
